
############ Experiment A — Balanced / FIFO ############
Params {
    workers: 8,
    total_tasks: 1000,
    arrival_interval_ms: 20,
    task_duration_ms: 200,
    io_probability: 0.7,
    cpu_budget: 100,
    monitor_tick_ms: 10,
    rng_seed: 42,
    policy: Fifo,
    workload: Balanced,
}
[monitor  1141ms] active 2/8 | cpu 70% | queue 23 | total 1000
[monitor  1152ms] active 2/8 | cpu 70% | queue 24 | total 1000
[monitor  1163ms] active 2/8 | cpu 70% | queue 25 | total 1000
[monitor  1174ms] active 2/8 | cpu 70% | queue 25 | total 1000
[monitor  1184ms] active 2/8 | cpu 70% | queue 26 | total 1000
[monitor  1196ms] active 2/8 | cpu 70% | queue 26 | total 1000
[monitor  1207ms] active 2/8 | cpu 70% | queue 27 | total 1000
[monitor  1218ms] active 2/8 | cpu 70% | queue 27 | total 1000
[monitor  1229ms] active 2/8 | cpu 70% | queue 28 | total 1000
[monitor  1240ms] active 2/8 | cpu 70% | queue 28 | total 1000
[monitor  1257ms] active 7/8 | cpu 95% | queue 22 | total 1000
[monitor  1267ms] active 7/8 | cpu 95% | queue 23 | total 1000
[monitor  1278ms] active 7/8 | cpu 95% | queue 23 | total 1000
[monitor  1288ms] active 7/8 | cpu 95% | queue 24 | total 1000
[monitor  1299ms] active 7/8 | cpu 95% | queue 24 | total 1000
[monitor  1310ms] active 7/8 | cpu 95% | queue 25 | total 1000
[monitor  1320ms] active 7/8 | cpu 95% | queue 25 | total 1000
[monitor  1331ms] active 7/8 | cpu 95% | queue 26 | total 1000
[monitor  1343ms] active 7/8 | cpu 95% | queue 26 | total 1000
[monitor  1355ms] active 7/8 | cpu 95% | queue 27 | total 1000
[monitor  1366ms] active 7/8 | cpu 95% | queue 28 | total 1000
[monitor  1378ms] active 7/8 | cpu 95% | queue 28 | total 1000
[monitor  1390ms] active 7/8 | cpu 95% | queue 29 | total 1000
[monitor  1402ms] active 7/8 | cpu 95% | queue 29 | total 1000
[monitor  1413ms] active 7/8 | cpu 95% | queue 30 | total 1000
[monitor  1424ms] active 7/8 | cpu 95% | queue 30 | total 1000
[monitor  1434ms] active 7/8 | cpu 95% | queue 31 | total 1000
[monitor  1445ms] active 7/8 | cpu 95% | queue 31 | total 1000
[monitor  1456ms] active 7/8 | cpu 95% | queue 25 | total 1000
[monitor  1467ms] active 7/8 | cpu 95% | queue 26 | total 1000
[monitor  1479ms] active 7/8 | cpu 95% | queue 26 | total 1000
[monitor  1490ms] active 7/8 | cpu 95% | queue 27 | total 1000
[monitor  1501ms] active 7/8 | cpu 95% | queue 27 | total 1000
[monitor  1512ms] active 7/8 | cpu 95% | queue 28 | total 1000
[monitor  1524ms] active 7/8 | cpu 95% | queue 28 | total 1000
[monitor  1535ms] active 7/8 | cpu 95% | queue 29 | total 1000
[monitor  1547ms] active 7/8 | cpu 95% | queue 30 | total 1000
[monitor  1558ms] active 7/8 | cpu 95% | queue 30 | total 1000
[monitor  1569ms] active 7/8 | cpu 95% | queue 31 | total 1000
[monitor  1581ms] active 7/8 | cpu 95% | queue 31 | total 1000
[monitor  1592ms] active 7/8 | cpu 95% | queue 32 | total 1000
[monitor  1604ms] active 7/8 | cpu 95% | queue 32 | total 1000
[monitor  1615ms] active 7/8 | cpu 95% | queue 33 | total 1000
[monitor  1626ms] active 7/8 | cpu 95% | queue 33 | total 1000
[monitor  1638ms] active 7/8 | cpu 95% | queue 34 | total 1000
[monitor  1650ms] active 3/8 | cpu 80% | queue 32 | total 1000
[monitor  1661ms] active 3/8 | cpu 80% | queue 32 | total 1000
[monitor  1672ms] active 3/8 | cpu 80% | queue 33 | total 1000
[monitor  1683ms] active 3/8 | cpu 80% | queue 33 | total 1000
[monitor  1695ms] active 3/8 | cpu 80% | queue 34 | total 1000
[monitor  1706ms] active 3/8 | cpu 80% | queue 34 | total 1000
[monitor  1718ms] active 3/8 | cpu 80% | queue 35 | total 1000
[monitor  1729ms] active 3/8 | cpu 80% | queue 35 | total 1000
[monitor  1740ms] active 3/8 | cpu 80% | queue 36 | total 1000
[monitor  1751ms] active 3/8 | cpu 80% | queue 37 | total 1000
[monitor  1763ms] active 3/8 | cpu 80% | queue 37 | total 1000
[monitor  1775ms] active 3/8 | cpu 80% | queue 38 | total 1000
[monitor  1786ms] active 3/8 | cpu 80% | queue 38 | total 1000
[monitor  1805ms] active 3/8 | cpu 80% | queue 39 | total 1000
[monitor  1823ms] active 3/8 | cpu 80% | queue 40 | total 1000
[monitor  1839ms] active 3/8 | cpu 80% | queue 41 | total 1000
[monitor  1850ms] active 5/8 | cpu 100% | queue 36 | total 1000
[monitor  1861ms] active 5/8 | cpu 100% | queue 37 | total 1000
[monitor  1873ms] active 5/8 | cpu 100% | queue 38 | total 1000
[monitor  1884ms] active 5/8 | cpu 100% | queue 38 | total 1000
[monitor  1895ms] active 5/8 | cpu 100% | queue 39 | total 1000
[monitor  1907ms] active 5/8 | cpu 100% | queue 39 | total 1000
[monitor  1918ms] active 5/8 | cpu 100% | queue 40 | total 1000
[monitor  1929ms] active 5/8 | cpu 100% | queue 40 | total 1000
[monitor  1941ms] active 5/8 | cpu 100% | queue 41 | total 1000
[monitor  1952ms] active 5/8 | cpu 100% | queue 41 | total 1000
[monitor  1962ms] active 5/8 | cpu 100% | queue 42 | total 1000
[monitor  2003ms] active 5/8 | cpu 100% | queue 44 | total 1000
[monitor  2014ms] active 5/8 | cpu 100% | queue 44 | total 1000
[monitor  2025ms] active 5/8 | cpu 100% | queue 45 | total 1000
[monitor  2036ms] active 5/8 | cpu 100% | queue 46 | total 1000
[monitor  2047ms] active 5/8 | cpu 100% | queue 46 | total 1000
[monitor  2059ms] active 7/8 | cpu 95% | queue 40 | total 1000
[monitor  2070ms] active 7/8 | cpu 95% | queue 40 | total 1000
[monitor  2081ms] active 7/8 | cpu 95% | queue 41 | total 1000
[monitor  2092ms] active 7/8 | cpu 95% | queue 41 | total 1000
[monitor  2103ms] active 7/8 | cpu 95% | queue 42 | total 1000
[monitor  2114ms] active 7/8 | cpu 95% | queue 42 | total 1000
[monitor  2125ms] active 7/8 | cpu 95% | queue 43 | total 1000
[monitor  2136ms] active 7/8 | cpu 95% | queue 43 | total 1000
[monitor  2147ms] active 7/8 | cpu 95% | queue 44 | total 1000
[monitor  2157ms] active 7/8 | cpu 95% | queue 44 | total 1000
[monitor  2181ms] active 7/8 | cpu 95% | queue 46 | total 1000
[monitor  2192ms] active 7/8 | cpu 95% | queue 46 | total 1000
[monitor  2203ms] active 7/8 | cpu 95% | queue 47 | total 1000
[monitor  2214ms] active 7/8 | cpu 95% | queue 47 | total 1000
[monitor  2224ms] active 7/8 | cpu 95% | queue 48 | total 1000
[monitor  2235ms] active 7/8 | cpu 95% | queue 48 | total 1000
[monitor  2245ms] active 7/8 | cpu 95% | queue 49 | total 1000
[monitor  2256ms] active 8/8 | cpu 80% | queue 41 | total 1000
[monitor  2268ms] active 8/8 | cpu 80% | queue 42 | total 1000
